Diet,Transport,Electricity Usage (kWh),Vehicle Type,Vehicle Monthly Distance Km,Heating Energy Source,Energy efficiency,How Long TV PC Daily Hour,How Long Internet Daily Hour,Waste Bag Size,Waste Bag Weekly Count,How Many New Clothes Monthly,Frequency of Traveling by Air,CarbonEmission
omnivore,private,51,petrol,2472,wood,Sometimes,14,6,small,1,47,never,2595
vegetarian,private,18,diesel,8457,coal,Yes,3,6,large,1,5,very frequently,4743
vegan,private,55.5,hybrid,5363,wood,Sometimes,9,19,medium,4,11,rarely,1832
vegan,private,54,lpg,2893,electricity,Sometimes,13,10,large,6,16,rarely,1732
vegan,private,31.5,petrol,7622,electricity,Sometimes,6,9,medium,2,37,very frequently,5272
vegan,private,7.5,electric,2237,electricity,No,0,5,large,6,8,rarely,1300
vegetarian,private,81,diesel,472,coal,Yes,17,20,small,4,24,frequently,2582
vegan,private,45,diesel,5737,coal,Yes,5,20,medium,1,20,very frequently,4284
pescatarian,private,33,lpg,8320,wood,Sometimes,9,4,small,5,0,very frequently,3911
omnivore,private,75,electric,9488,wood,Yes,16,18,small,5,20,very frequently,3141
pescatarian,private,43.5,electric,9555,wood,Yes,13,3,large,2,43,never,1188
pescatarian,private,10.5,diesel,9031,electricity,Yes,1,5,extra large,5,11,never,3174
vegan,private,36,diesel,5033,natural gas,No,0,24,medium,6,43,never,2665
vegetarian,private,30,hybrid,2277,electricity,Sometimes,0,20,large,1,11,frequently,1690
vegan,private,19.5,lpg,7272,coal,No,4,5,large,2,38,frequently,4060
vegetarian,private,67.5,petrol,5260,electricity,No,14,17,extra large,3,18,rarely,3262
vegetarian,private,4.5,hybrid,2998,natural gas,Sometimes,0,3,small,4,36,frequently,3135
pescatarian,private,33,lpg,9147,natural gas,Yes,1,20,extra large,5,49,rarely,4465
vegetarian,private,67.5,lpg,4885,electricity,Yes,21,3,large,1,21,very frequently,3246
omnivore,private,61.5,petrol,7964,coal,No,16,9,small,1,43,never,4638
omnivore,private,81,hybrid,3606,coal,Sometimes,16,22,small,3,8,rarely,1909
vegetarian,private,48,lpg,5765,electricity,No,7,18,medium,5,2,never,3054
pescatarian,private,88.5,lpg,7797,electricity,Yes,22,15,large,7,8,frequently,4301
vegetarian,private,54,petrol,7629,wood,No,17,2,medium,1,37,frequently,4132
vegetarian,private,37.5,petrol,2367,wood,No,1,23,medium,3,41,frequently,2993
omnivore,private,22.5,petrol,3960,wood,Yes,7,1,medium,1,21,frequently,3098
omnivore,private,66,lpg,6455,coal,Yes,15,14,large,1,31,rarely,2941
vegan,private,40.5,electric,8707,wood,Sometimes,2,23,medium,3,23,very frequently,2439
pescatarian,private,57,lpg,167,electricity,Yes,9,20,small,2,7,very frequently,2056
vegan,private,31.5,lpg,2880,coal,Sometimes,10,1,small,5,9,never,1923
omnivore,private,54,diesel,1419,wood,Yes,8,20,large,5,43,very frequently,3748
vegan,private,30,electric,9159,electricity,No,2,16,small,7,26,rarely,1122
vegetarian,private,87,hybrid,8016,wood,No,21,16,small,3,14,never,2810
pescatarian,private,9,hybrid,7743,wood,Yes,1,4,extra large,3,33,frequently,2768
omnivore,private,102,electric,2721,coal,No,23,22,small,6,30,rarely,2171
vegan,private,34.5,diesel,8815,coal,Sometimes,7,9,small,2,37,frequently,4017
pescatarian,private,54,electric,3276,wood,No,13,10,extra large,1,10,rarely,877
vegan,private,54,hybrid,3309,electricity,Yes,8,20,medium,5,16,never,1856
pescatarian,private,78,hybrid,2623,wood,No,20,12,medium,2,31,never,2197
omnivore,private,72,diesel,7915,electricity,Sometimes,15,18,large,1,10,very frequently,4281
vegan,private,87,lpg,8897,electricity,Yes,17,24,small,3,3,frequently,3480
omnivore,private,58.5,electric,3662,natural gas,Yes,9,21,small,2,44,frequently,2046
vegan,private,43.5,petrol,611,coal,Sometimes,12,5,large,6,37,never,2521
pescatarian,private,61.5,electric,8219,wood,Sometimes,18,5,extra large,5,2,never,1708
vegan,private,45,hybrid,7460,wood,Sometimes,5,20,small,6,11,never,2042
vegetarian,private,3,diesel,4686,natural gas,No,0,2,extra large,2,47,very frequently,3473
omnivore,private,28.5,electric,5168,natural gas,No,1,17,small,3,40,never,1552
vegan,private,99,petrol,672,coal,No,24,18,small,3,34,frequently,2406
vegetarian,private,57,petrol,3114,wood,Sometimes,14,10,large,3,5,rarely,2540
vegetarian,private,22.5,lpg,7134,natural gas,Yes,5,5,extra large,2,8,rarely,2424
vegan,private,48,diesel,8609,coal,Yes,6,20,extra large,6,14,rarely,4000
omnivore,private,40.5,petrol,2885,natural gas,Sometimes,3,21,small,4,33,rarely,2349
vegan,private,21,petrol,8130,natural gas,Sometimes,7,0,large,7,27,rarely,4536
omnivore,private,39,diesel,6337,natural gas,Sometimes,13,0,extra large,4,1,frequently,3620
omnivore,private,46.5,diesel,6159,natural gas,Yes,6,19,small,2,5,very frequently,2895
omnivore,private,94.5,diesel,9884,electricity,Yes,21,21,extra large,1,32,never,4294
vegan,private,49.5,hybrid,4060,wood,No,13,7,extra large,7,46,frequently,3429
vegetarian,private,36,diesel,84,natural gas,Yes,1,22,small,1,5,frequently,1880
pescatarian,private,70.5,diesel,6908,coal,Yes,15,17,large,3,8,frequently,3535
vegetarian,private,10.5,lpg,121,natural gas,Sometimes,2,3,extra large,2,0,frequently,1268
